JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ, IGNORAR1, IGNORAR2, IGNORAR3, IGNORAR 4, IGNORAR 5, IGNORAR 6,            
2460788.500000000, A.D. 2025-Apr-23 00:00:00.0000, -8.456371712211368E-01, -5.438108012437906E-01,  3.838778616046450E-05,  9.023365287023973E-03, -1.454095269871247E-02,  2.153523140452890E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460789.500000000, A.D. 2025-Apr-24 00:00:00.0000, -8.364903943004354E-01, -5.582723237039710E-01,  3.856362043736440E-05,  9.269751765707462E-03, -1.438135230957343E-02,  1.420008574661445E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460790.500000000, A.D. 2025-Apr-25 00:00:00.0000, -8.270985668826401E-01, -5.725720214416705E-01,  3.868427964108475E-05,  9.513439546844166E-03, -1.421729936516820E-02,  1.060556010259409E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460791.500000000, A.D. 2025-Apr-26 00:00:00.0000, -8.174644732459924E-01, -5.867054346818527E-01,  3.878990419215381E-05,  9.754252315745346E-03, -1.404878447668828E-02,  1.125054517997130E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460792.500000000, A.D. 2025-Apr-27 00:00:00.0000, -8.075910877416633E-01, -6.006681123393803E-01,  3.892393003671091E-05,  9.991988329099645E-03, -1.387583721372542E-02,  1.627115984362293E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460793.500000000, A.D. 2025-Apr-28 00:00:00.0000, -7.974815921346544E-01, -6.144556583249133E-01,  3.912884531434081E-05,  1.022643829124668E-02, -1.369853946790383E-02,  2.533077869091988E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460794.500000000, A.D. 2025-Apr-29 00:00:00.0000, -7.871393709245174E-01, -6.280637860031270E-01,  3.944134620888714E-05,  1.045741035424548E-02, -1.351702733029897E-02,  3.761875953614506E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460795.500000000, A.D. 2025-Apr-30 00:00:00.0000, -7.765679817955630E-01, -6.414883671534420E-01,  3.988814852436106E-05,  1.068475311226311E-02, -1.333147831566856E-02,  5.198089550900884E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460796.500000000, A.D. 2025-May-01 00:00:00.0000, -7.657711080880074E-01, -6.547254624275026E-01,  4.048359232880415E-05,  1.090836740865031E-02, -1.314208848243839E-02,  6.713460171392313E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460797.500000000, A.D. 2025-May-02 00:00:00.0000, -7.547525066623682E-01, -6.677713278023291E-01,  4.122945576429369E-05,  1.112820390709175E-02, -1.294904895889675E-02,  8.188064836595069E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460798.500000000, A.D. 2025-May-03 00:00:00.0000, -7.435159637813796E-01, -6.806224008020484E-01,  4.211655722566532E-05,  1.134425060200088E-02, -1.275252986636200E-02,  9.524151320786163E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
