t (días),r_x,r_y,r_z,v_x,v_y,v_z
0,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
1,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
2,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
3,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
4,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
5,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
6,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
7,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
8,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
9,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
10,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
11,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
12,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
13,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
14,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
15,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
16,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
17,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
18,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
19,-0.9179221337238533,-0.19862593421011546,1.4585586671188484e-05,0.3521074076709886,0.07063747889626741,-5.418678139785026e-06
