"fecha","pos_real","pos_cal","error_pos","vel_real","vel_calc","error_vel"
2025-04-01,0.999224133384052,0.939166282153343,6.01044842935415,0.0172220304712113,0.359122931586061,1985.25314240024
2025-04-02,0.99950609257861,0.939166282153343,6.03696274322824,0.0172159045775835,0.359122931586061,1985.99513297528
2025-04-03,0.999787107015537,0.939166282153343,6.0633733358648,0.0172095543082855,0.359122931586061,1986.7648583622
2025-04-04,1.00006741893734,0.939166282153343,6.08970311708689,0.0172030810912689,0.359122931586061,1987.55007129697
2025-04-05,1.00034727990375,0.939166282153343,6.11597581954647,0.0171965781296604,0.359122931586061,1988.33948753241
2025-04-06,1.00062692781939,0.939166282153343,6.14221384187495,0.0171901243682603,0.359122931586061,1989.12352169565
2025-04-07,1.00090657257366,0.939166282153343,6.16843690631048,0.0171837833955615,0.359122931586061,1989.89442731698
2025-04-08,1.00118638842203,0.939166282153343,6.19466135236149,0.0171776050324709,0.359122931586061,1990.6461110685
2025-04-09,1.00146651060826,0.939166282153343,6.22089982989802,0.0171716277286058,0.359122931586061,1991.37384796553
2025-04-10,1.00174703415905,0.939166282153343,6.2471611965633,0.0171658806792227,0.359122931586061,1992.07402927329
2025-04-11,1.00202801355997,0.939166282153343,6.27345049798517,0.0171603852645035,0.359122931586061,1992.74399176172
2025-04-12,1.00230946272897,0.939166282153343,6.29976897591196,0.0171551558479103,0.359122931586061,1993.38192418582
2025-04-13,1.00259135517632,0.939166282153343,6.326114093795,0.017150200173761,0.359122931586061,1993.98682200516
2025-04-14,1.0028736244541,0.939166282153343,6.3524795893831,0.0171455196360415,0.359122931586061,1994.55845730771
2025-04-15,1.00315616499913,0.939166282153343,6.37885556391363,0.0171411096068172,0.359122931586061,1995.09734097513
2025-04-16,1.00343883334212,0.939166282153343,6.40522860518662,0.0171369598663417,0.359122931586061,1995.60467193138
2025-04-17,1.00372144949002,0.939166282153343,6.43158192638816,0.0171330550208962,0.359122931586061,1996.08228741493
2025-04-18,1.00400379818415,0.939166282153343,6.45789549283291,0.0171293746748371,0.359122931586061,1996.53264292018
2025-04-19,1.00428562976659,0.939166282153343,6.48414611173733,0.0171258930719045,0.359122931586061,1996.95885685058
2025-04-20,1.00456666060229,0.939166282153343,6.5103074802162,0.0171225779574383,0.359122931586061,1997.36485054257
