"","train_loss","val_loss","train_r","train_v","train_f","val_r","val_v","val_f"
"1",320978216476.518,181884638677.941,1.00312721729279,1.01526951789856,3.40240196009137e+29,1.22587442398071,0.800598382949829,4.27193441734403e+28
"2",162148665805.059,134093701927.536,1.01325809955597,0.922792971134186,2.6526590344371e+29,1.47873246669769,1.04536592960358,4.41404223072979e+28
"3",95420568242.0473,68579524581.0821,1.14231216907501,0.891232550144196,2.4900934572109e+29,1.06753265857697,1.01156055927277,4.04877001669971e+28
"4",42814277936.1029,34458787700.9244,1.07034432888031,0.983915030956268,2.80744460733009e+29,1.20548141002655,0.943991363048553,4.60078821329487e+28
"5",32056605235.6414,25100631835.759,0.934534072875977,0.96782374382019,2.44418525478967e+29,1.21639347076416,1.03781354427338,3.93456973639945e+28
"6",22716159825.2459,19595311130.0767,0.982422888278961,1.04042088985443,1.94122432348118e+29,1.59934616088867,1.21301198005676,4.32341765674028e+28
"7",20273611290.101,18125252911.3866,0.910185992717743,1.0133490562439,2.41629816955105e+29,1.36342489719391,1.13220965862274,3.07925212172053e+28
"8",15644105018.2017,14571456455.08,0.946105241775513,1.06660294532776,2.08789290396876e+29,1.17757880687714,0.89540034532547,3.98574295243609e+28
"9",12981709651.8385,13140277393.805,1.00340187549591,1.02361643314362,1.8059464687396e+29,1.16869676113129,0.894815146923065,4.9614282580419e+28
"10",11608793930.1338,15722376682.1292,1.01434290409088,0.975551426410675,2.06005360907895e+29,1.43630266189575,1.13412356376648,3.07075941783774e+28
"11",11536136824.0996,9762701667.53998,1.09308886528015,1.02325022220612,1.6858349661944e+29,1.55355882644653,1.15063011646271,4.56525098880133e+28
"12",9748746483.49254,7772853522.78642,1.14109361171722,0.946252524852753,1.94743574656343e+29,1.42734944820404,1.0454728603363,3.9490912494526e+28
"13",8794647213.00233,10386391550.3176,1.07776188850403,1.08558356761932,2.14190166496005e+29,1.0695503950119,1.0298398733139,5.16285135563574e+28
"14",9418776367.23142,6593730286.33516,1.07827067375183,1.05099558830261,1.91946346983346e+29,1.17859554290771,1.0490540266037,3.45038762597574e+28
"15",9082983759.9146,9949903378.22563,1.11340963840485,1.05668997764587,1.59423843473539e+29,1.52272641658783,1.06885135173798,2.59845712865666e+28
"16",7155626622.8964,8510495813.81818,1.03342974185944,1.10236346721649,1.50251468272333e+29,1.42192184925079,0.993161261081696,4.03384025506412e+28
"17",7610822211.19693,8240792271.35159,0.946088135242462,1.04282367229462,1.88115752187101e+29,1.90663194656372,1.00389993190765,3.29247074631528e+28
"18",5608194205.61763,5214172634.91785,1.00726354122162,1.00078213214874,1.64527399378906e+29,1.34162104129791,0.953028619289398,4.08976110224432e+28
"19",5008552683.57465,6010191694.7908,1.13987350463867,1.01550567150116,1.41957434347474e+29,1.31831812858582,0.959823369979858,2.39530115868194e+28
"20",5349362000.93937,4751284047.1851,0.947058022022247,0.903521716594696,1.84758262954577e+29,1.5912698507309,1.01811301708221,3.66828233786183e+28
"21",5451873573.17203,25868777409.1917,0.914644718170166,0.94261646270752,1.47723859391309e+29,1.23789930343628,1.17635011672974,4.15642958330288e+28
"22",8574915984.16861,5166873617.36692,1.10371351242065,1.00539207458496,1.52402015079166e+29,1.42223560810089,1.01856374740601,3.67126663736068e+28
"23",4492643080.33393,4547506412.26725,1.04834723472595,0.90415221452713,1.25202175834798e+29,1.17557907104492,0.983121395111084,5.10028849999739e+28
"24",4304382263.28507,4554810340.9069,0.949926137924194,0.953020989894867,1.42757441008604e+29,1.58243715763092,0.892047226428986,5.04750944323824e+28
